model,baseline_mean,ablation_mean,arbiter_mean,prompt_contribution,architecture_contribution,total_improvement,prompt_pct,architecture_pct
Llama-3.3-70B,7.076666666666667,8.08,11.456666666666667,1.003333333333333,3.376666666666667,4.38,22.90715372907153,77.09284627092848
Claude,3.8066666666666666,14.36,33.96333333333333,10.553333333333333,19.60333333333333,30.156666666666666,34.99502597546148,65.00497402453853
GPT-5.1,26.39666666666667,40.54,54.04333333333334,14.14333333333333,13.503333333333337,27.64666666666667,51.15746322642873,48.84253677357127
Gemini,35.31333333333333,52.6,49.35333333333333,17.28666666666667,-3.2466666666666697,14.04,123.12440645773981,-23.124406457739813
